event_id,particle,Z,R_GV,layer_index,z_layer,x_true,y_true,x_meas,y_meas,t,pitch_deg
0,p,1,16.60934072833945,0,0.1,0.002675008803966976,0.12770825587636014,0.002712531363757299,0.1277552841121797,5.416080526479483e-10,51.943921987602614
0,p,1,16.60934072833945,1,0.23333333333333334,0.006241687209256276,0.29798593037817367,0.006144135449823584,0.29792082140283055,1.2637521228452127e-09,51.943921987602614
0,p,1,16.60934072833945,2,0.3666666666666667,0.009808365614545577,0.4682636048799872,0.00981475763470394,0.46824779275037004,1.985896193042477e-09,51.943921987602614
0,p,1,16.60934072833945,3,0.5,0.013375044019834878,0.6385412793818007,0.013374203961959662,0.638498627185422,2.7080402632397414e-09,51.943921987602614
0,p,1,16.60934072833945,4,0.6333333333333333,0.016941722425124178,0.8088189538836142,0.01698569232386732,0.8088578434803857,3.4301843334370056e-09,51.943921987602614
0,p,1,16.60934072833945,5,0.7666666666666666,0.020508400830413477,0.9790966283854277,0.020511702365291536,0.9791529904457761,4.1523284036342695e-09,51.943921987602614
0,p,1,16.60934072833945,6,0.9,0.02407507923570278,1.1493743028872412,0.02409845470281538,1.149331338264097,4.8744724738315346e-09,51.943921987602614
1,p,1,13.318771805237523,0,0.1,0.0013699065475090953,0.06540104676909787,0.001413829062574459,0.06539855047354856,3.9930548937552864e-10,33.190862805208766
1,p,1,13.318771805237523,1,0.23333333333333334,0.003196448610854556,0.15260244246122837,0.003187205492677293,0.15256839598400818,9.317128085429002e-10,33.190862805208766
1,p,1,13.318771805237523,2,0.3666666666666667,0.005022990674200017,0.23980383815335887,0.005084117741133719,0.23979611167925544,1.464120127710272e-09,33.190862805208766
1,p,1,13.318771805237523,3,0.5,0.006849532737545476,0.3270052338454893,0.006828116346437321,0.32698762716796487,1.996527446877643e-09,33.190862805208766
1,p,1,13.318771805237523,4,0.6333333333333333,0.008676074800890936,0.4142066295376198,0.008702690260168603,0.414224901740838,2.5289347660450144e-09,33.190862805208766
1,p,1,13.318771805237523,5,0.7666666666666666,0.010502616864236397,0.5014080252297503,0.010523253494816196,0.5014295662799007,3.061342085212386e-09,33.190862805208766
1,p,1,13.318771805237523,6,0.9,0.012329158927581858,0.5886094209218808,0.01243624130762538,0.5885891001710616,3.5937494043797577e-09,33.190862805208766
2,p,1,9.887380372072279,0,0.1,0.002368937738105677,0.11309604153994428,0.002399736709234452,0.11315249015458033,5.055427532225676e-10,48.52298530174345
2,p,1,9.887380372072279,1,0.23333333333333334,0.005527521388913246,0.2638907635932033,0.005521824016030502,0.2638487557693552,1.1795997575193243e-09,48.52298530174345
2,p,1,9.887380372072279,2,0.3666666666666667,0.008686105039720815,0.41468548564646235,0.008644880978936252,0.41471801528585356,1.853656761816081e-09,48.52298530174345
2,p,1,9.887380372072279,3,0.5,0.011844688690528384,0.5654802076997213,0.011881851399088556,0.5655073654131365,2.5277137661128378e-09,48.52298530174345
2,p,1,9.887380372072279,4,0.6333333333333333,0.01500327234133595,0.7162749297529803,0.014969996855971515,0.7162865378191337,3.201770770409594e-09,48.52298530174345
2,p,1,9.887380372072279,5,0.7666666666666666,0.018161855992143518,0.8670696518062393,0.018167690282600554,0.8670805862360758,3.8758277747063504e-09,48.52298530174345
2,p,1,9.887380372072279,6,0.9,0.02132043964295109,1.0178643738594984,0.021364011081848502,1.017875553636937,4.549884779003108e-09,48.52298530174345
3,p,1,7.998623037126625,0,0.1,0.0012270734649546223,0.058582017303690115,0.0012415294348891216,0.058613581714982044,3.8899021943843475e-10,30.368113487550275
3,p,1,7.998623037126625,1,0.23333333333333334,0.0028631714182274517,0.13669137370861023,0.0027903136272346683,0.13667539014779237,9.076438453563476e-10,30.368113487550275
3,p,1,7.998623037126625,2,0.3666666666666667,0.004499269371500281,0.2148007301135304,0.004475750738785642,0.21476878622111822,1.4262974712742606e-09,30.368113487550275
3,p,1,7.998623037126625,3,0.5,0.0061353673247731095,0.2929100865184505,0.0061216102122117755,0.2929848335840122,1.9449510971921734e-09,30.368113487550275
3,p,1,7.998623037126625,4,0.6333333333333333,0.0077714652780459395,0.37101944292337063,0.007728173722261277,0.3710678568411002,2.463604723110086e-09,30.368113487550275
3,p,1,7.998623037126625,5,0.7666666666666666,0.009407563231318769,0.44912879932829075,0.009323419742737978,0.44911205507679147,2.982258349027999e-09,30.368113487550275
3,p,1,7.998623037126625,6,0.9,0.011043661184591599,0.527238155733211,0.011051798837846849,0.527267466849779,3.500911974945912e-09,30.368113487550275
4,p,1,13.388107411181203,0,0.1,0.002108653090226343,0.10066972789089486,0.0020912168366139213,0.10064661030126162,4.741981957879423e-10,45.19750490313061
4,p,1,13.388107411181203,1,0.23333333333333334,0.004920190543861468,0.2348960317454213,0.004963089337924325,0.23488646652917725,1.106462456838532e-09,45.19750490313061
4,p,1,13.388107411181203,2,0.3666666666666667,0.007731727997496592,0.36912233559994784,0.007667943681329696,0.36906567123924766,1.7387267178891218e-09,45.19750490313061
4,p,1,13.388107411181203,3,0.5,0.010543265451131715,0.5033486394544743,0.010497292836831634,0.5033734974916769,2.3709909789397113e-09,45.19750490313061
4,p,1,13.388107411181203,4,0.6333333333333333,0.013354802904766839,0.6375749433090007,0.013361924191570366,0.637609467576704,3.0032552399903006e-09,45.19750490313061
4,p,1,13.388107411181203,5,0.7666666666666666,0.016166340358401966,0.7718012471635272,0.016144977726085138,0.771809174148081,3.6355195010408907e-09,45.19750490313061
4,p,1,13.388107411181203,6,0.9,0.01897787781203709,0.9060275510180537,0.019009157331735457,0.9060120836910677,4.267783762091481e-09,45.19750490313061
5,p,1,17.21030576999052,0,0.1,0.0016567611339063472,0.0790958424141069,0.0016386084415780937,0.07907675551940699,4.2566578052834534e-10,38.3486459953852
5,p,1,17.21030576999052,1,0.23333333333333334,0.0038657759791148097,0.18455696563291607,0.003805983996835358,0.18458131425695534,9.93220154566139e-10,38.3486459953852
5,p,1,17.21030576999052,2,0.3666666666666667,0.006074790824323273,0.2900180888517253,0.006051320707313137,0.2900187135576617,1.5607745286039328e-09,38.3486459953852
5,p,1,17.21030576999052,3,0.5,0.008283805669531736,0.3954792120705345,0.008307843002477031,0.395501538629336,2.1283289026417265e-09,38.3486459953852
5,p,1,17.21030576999052,4,0.6333333333333333,0.010492820514740198,0.5009403352893437,0.010526089770188837,0.5009354110151182,2.69588327667952e-09,38.3486459953852
5,p,1,17.21030576999052,5,0.7666666666666666,0.01270183535994866,0.6064014585081527,0.012680670444346452,0.6063974725976075,3.2634376507173134e-09,38.3486459953852
5,p,1,17.21030576999052,6,0.9,0.014910850205157122,0.711862581726962,0.01482648348345922,0.7117902261033409,3.8309920247551074e-09,38.3486459953852
6,p,1,6.77008853180773,0,0.1,0.00993313076146788,0.4742200485686871,0.009953119472804053,0.4741747746159191,1.6312801497756916e-09,78.09488322747572
6,p,1,6.77008853180773,1,0.23333333333333334,0.02317730511009172,1.10651344666027,0.02315839698238975,1.1065784080751593,3.806320349476614e-09,78.09488322747572
6,p,1,6.77008853180773,2,0.3666666666666667,0.036421479458715565,1.7388068447518528,0.0364036662601625,1.738843720530276,5.981360549177537e-09,78.09488322747572
6,p,1,6.77008853180773,3,0.5,0.0496656538073394,2.3711002428434353,0.04961897292333891,2.3710899709655417,8.156400748878459e-09,78.09488322747572
6,p,1,6.77008853180773,4,0.6333333333333333,0.06290982815596324,3.0033936409350184,0.06286232705321772,3.0033766892812235,1.0331440948579381e-08,78.09488322747572
6,p,1,6.77008853180773,5,0.7666666666666666,0.0876469091575833,3.6353258730949083,0.08768892456445618,3.6352395070737487,1.2506481148280301e-08,78.09488322747572
6,p,1,6.77008853180773,6,0.9,0.11412944894689615,4.2672032540088685,0.11415117012907344,4.267215140788985,1.4681521347981225e-08,78.09488322747572
7,p,1,7.651591744088476,0,0.1,0.006778015893822444,0.3235909305489521,0.006781622369208137,0.3235644559134989,1.1376516003773213e-09,72.83071420461877
7,p,1,7.651591744088476,1,0.23333333333333334,0.015815370418919037,0.7550455046142215,0.015827004229486772,0.7550465972214977,2.654520400880416e-09,72.83071420461877
7,p,1,7.651591744088476,2,0.3666666666666667,0.02485272494401563,1.186500078679491,0.024932813888581675,1.1864881108981173,4.1713892013835114e-09,72.83071420461877
7,p,1,7.651591744088476,3,0.5,0.03389007946911222,1.6179546527447604,0.03383890459448113,1.617963616526508,5.688258001886606e-09,72.83071420461877
7,p,1,7.651591744088476,4,0.6333333333333333,0.042927433994208807,2.0494092268100297,0.042938433828407396,2.0494771861887915,7.2051268023897005e-09,72.83071420461877
7,p,1,7.651591744088476,5,0.7666666666666666,0.0519647885193054,2.4808638008752992,0.05200654408160113,2.4808816444282566,8.721995602892795e-09,72.83071420461877
7,p,1,7.651591744088476,6,0.9,0.06100214304440199,2.9123183749405683,0.06107530818896297,2.912258936787852,1.023886440339589e-08,72.83071420461877
8,p,1,7.558894528053291,0,0.1,0.008562035123490895,0.40876223313792776,0.008542544633333107,0.40869339883054995,1.413779481356926e-09,76.25600591883986
8,p,1,7.558894528053291,1,0.23333333333333334,0.01997808195481209,0.9537785439884982,0.02000983950215281,0.9537674328536432,3.2988187898328274e-09,76.25600591883986
8,p,1,7.558894528053291,2,0.3666666666666667,0.031394128786133284,1.4987948548390686,0.03132058847140815,1.4987440758850081,5.183858098308729e-09,76.25600591883986
8,p,1,7.558894528053291,3,0.5,0.042810175617454475,2.0438111656896387,0.04282585130982699,2.0438530720180332,7.0688974067846295e-09,76.25600591883986
8,p,1,7.558894528053291,4,0.6333333333333333,0.05422622244877566,2.588827476540209,0.05432605899336025,2.588973169663509,8.95393671526053e-09,76.25600591883986
8,p,1,7.558894528053291,5,0.7666666666666666,0.06564226928009685,3.1338437873907794,0.06566298975176064,3.133794310484778,1.0838976023736432e-08,76.25600591883986
8,p,1,7.558894528053291,6,0.9,0.08245046855422797,3.6786906492220868,0.0823438662401914,3.678704034795204,1.2724015332212334e-08,76.25600591883986
9,p,1,9.973534960138283,0,0.1,0.0031086611269212417,0.14841135851254314,0.0030780562869682513,0.14840431896822232,5.992506489984153e-10,56.03362012357689
9,p,1,9.973534960138283,1,0.23333333333333334,0.007253542629482898,0.34629316986260067,0.00730684164102228,0.3463010222909729,1.3982515143296357e-09,56.03362012357689
9,p,1,9.973534960138283,2,0.3666666666666667,0.011398424132044555,0.5441749812126582,0.01139049239019262,0.5441231985250169,2.1972523796608562e-09,56.03362012357689
9,p,1,9.973534960138283,3,0.5,0.015543305634606208,0.7420567925627156,0.01545957148737099,0.742032477167262,2.996253244992076e-09,56.03362012357689
9,p,1,9.973534960138283,4,0.6333333333333333,0.019688187137167863,0.9399386039127731,0.019685498009626948,0.9400270004084521,3.795254110323296e-09,56.03362012357689
9,p,1,9.973534960138283,5,0.7666666666666666,0.02383306863972952,1.1378204152628306,0.023839582365803164,1.1378695522383817,4.594254975654516e-09,56.03362012357689
9,p,1,9.973534960138283,6,0.9,0.027977950142291177,1.3357022266128882,0.027952985362364218,1.3356429794245672,5.393255840985737e-09,56.03362012357689
10,p,1,5.561188342642697,0,0.1,0.0033181046958090147,0.15841045565477005,0.0034245281824307728,0.15836938632080882,6.333698981187035e-10,57.74262346957417
10,p,1,5.561188342642697,1,0.23333333333333334,0.007742244290221034,0.3696243965277968,0.0077841687504078515,0.3695792501688924,1.477863095610308e-09,57.74262346957417
10,p,1,5.561188342642697,2,0.3666666666666667,0.012166383884633055,0.5808383374008236,0.012212962535276768,0.5808575849491289,2.322356293101913e-09,57.74262346957417
10,p,1,5.561188342642697,3,0.5,0.016590523479045074,0.7920522782738502,0.01658269158416217,0.7920502401475434,3.166849490593517e-09,57.74262346957417
10,p,1,5.561188342642697,4,0.6333333333333333,0.02101466307345709,1.0032662191468769,0.020981923688685622,1.003288522756951,4.011342688085121e-09,57.74262346957417
10,p,1,5.561188342642697,5,0.7666666666666666,0.02543880266786911,1.2144801600199036,0.02541605349385207,1.2144188797317153,4.855835885576726e-09,57.74262346957417
10,p,1,5.561188342642697,6,0.9,0.029862942262281134,1.4256941008929305,0.029799045383565155,1.4257027302888166,5.700329083068331e-09,57.74262346957417
11,p,1,16.229120291854237,0,0.1,0.007571646762117644,0.361479857811291,0.00756571484581215,0.3614941491182711,1.2525324866376288e-09,74.53962454392624
11,p,1,16.229120291854237,1,0.23333333333333334,0.0176671757782745,0.843453001559679,0.01773247586535984,0.8434639706847471,2.9225758021544667e-09,74.53962454392624
11,p,1,16.229120291854237,2,0.3666666666666667,0.02776270479443136,1.325426145308067,0.027742158432889675,1.3254814597435698,4.5926191176713054e-09,74.53962454392624
11,p,1,16.229120291854237,3,0.5,0.03785823381058822,1.807399289056455,0.0378796716325113,1.8074760768560547,6.262662433188143e-09,74.53962454392624
11,p,1,16.229120291854237,4,0.6333333333333333,0.04795376282674507,2.289372432804843,0.047962924548606164,2.2893112093532566,7.932705748704981e-09,74.53962454392624
11,p,1,16.229120291854237,5,0.7666666666666666,0.058049291842901925,2.77134557655323,0.05798088388293964,2.7714281229498416,9.602749064221819e-09,74.53962454392624
11,p,1,16.229120291854237,6,0.9,0.06814482085905879,3.253318720301619,0.06823100414509796,3.253309744340955,1.1272792379738659e-08,74.53962454392624
12,p,1,7.6890246223660865,0,0.1,0.003622693361992436,0.1729518983821009,0.003567341077890262,0.1729071620311531,6.709860191566072e-10,59.969139576042174
12,p,1,7.6890246223660865,1,0.23333333333333334,0.008452951177982351,0.40355442955823545,0.008485117517716804,0.40353469930209246,1.5656340446987502e-09,59.969139576042174
12,p,1,7.6890246223660865,2,0.3666666666666667,0.013283208993972267,0.63415696073437,0.013282952900636262,0.6341487885894438,2.4602820702408932e-09,59.969139576042174
12,p,1,7.6890246223660865,3,0.5,0.018113466809962182,0.8647594919105045,0.01813034553740213,0.8648298660035701,3.3549300957830363e-09,59.969139576042174
12,p,1,7.6890246223660865,4,0.6333333333333333,0.022943724625952094,1.095362023086639,0.022948253871297182,1.095394220026303,4.249578121325179e-09,59.969139576042174
12,p,1,7.6890246223660865,5,0.7666666666666666,0.027773982441942006,1.3259645542627734,0.027671473836890455,1.3259621183426769,5.144226146867321e-09,59.969139576042174
12,p,1,7.6890246223660865,6,0.9,0.032604240257931925,1.5565670854389082,0.03256207874441728,1.556506144785887,6.038874172409465e-09,59.969139576042174
13,p,1,7.996634774900864,0,0.1,0.005818752223682267,0.27779448679239893,0.005864547350800068,0.27772816715651194,9.910946674367888e-10,70.20622630911313
13,p,1,7.996634774900864,1,0.23333333333333334,0.013577088521925287,0.6481871358489307,0.013578620096555008,0.648162927377264,2.3125542240191734e-09,70.20622630911313
13,p,1,7.996634774900864,2,0.3666666666666667,0.02133542482016831,1.0185797849054627,0.021319041165450213,1.018629922796728,3.6340137806015582e-09,70.20622630911313
13,p,1,7.996634774900864,3,0.5,0.029093761118411332,1.3889724339619944,0.029120666890261528,1.3890393038673665,4.955473337183943e-09,70.20622630911313
13,p,1,7.996634774900864,4,0.6333333333333333,0.03685209741665435,1.7593650830185261,0.03684437213269186,1.7593302858879425,6.276932893766327e-09,70.20622630911313
13,p,1,7.996634774900864,5,0.7666666666666666,0.04461043371489737,2.129757732075058,0.04459924077405334,2.1297698569146215,7.598392450348711e-09,70.20622630911313
